source_address;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
45.61.161.77;10;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8
51.79.17.139;108;105;98;121;112;110;111;97;107;100;101;100;127;135;111;105;117;99;104;113;89;101;95;110
213.24.130.107;441;421;424;422;418;418;424;419;414;419;417;421;418;420;421;405;419;420;415;420;421;423;423;420
78.26.151.91;2;0;0;0;0;0;0;0;0;0;0;0;0;2;17;0;0;5;11;22;7;10;0;0
188.163.103.226;3;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
117.132.183.102;97;94;94;96;104;97;98;95;96;96;102;96;118;103;107;104;104;91;93;92;86;88;91;95
173.82.93.244;34;32;32;33;32;32;32;32;32;32;32;33;34;36;36;35;36;30;29;30;30;30;30;30
46.33.52.13;12;0;0;0;0;0;0;0;14;0;0;0;0;31;14;6;0;0;0;0;0;0;0;0
45.113.0.92;86;79;84;79;72;67;70;73;70;78;83;74;59;70;67;65;83;83;79;79;80;80;80;78
117.136.190.62;525;430;389;475;538;436;417;463;463;430;438;506;535;537;534;503;539;459;450;474;442;413;425;463
183.90.241.96;17;14;16;17;16;17;14;16;17;16;17;14;19;19;18;18;16;16;15;15;16;13;16;15
183.181.89.89;2;3;0;3;2;1;0;3;2;2;0;3;3;3;0;1;3;2;0;2;2;3;0;2
183.181.90.64;4;3;2;3;3;6;7;6;4;3;2;2;5;6;6;5;4;3;2;3;4;7;6;5
188.130.178.4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
66.70.177.141;17;16;16;17;16;16;16;16;14;16;17;16;17;17;18;17;18;15;15;15;15;15;15;15
51.116.133.72;6;5;5;11;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
52.30.12.24;17;3;0;0;16;0;0;0;16;0;0;0;17;0;0;0;18;0;0;0;15;0;0;0
88.207.100.233;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
