country;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
Cambodia;24;15;2;19;5;1;9;0;9;33;73;85;85;93;95;111;102;63;62;41;26;26;28;25
Pakistan;15;25;21;11;61;53;32;37;68;39;55;48;43;53;98;143;70;72;54;18;32;26;25;15
Myanmar;0;0;0;0;2;37;21;0;6;12;7;10;1;1;1;0;0;0;0;0;0;0;0;0
Dominican Republic;16;10;5;38;3;7;4;7;3;6;8;8;8;7;9;4;8;5;9;2;9;10;4;7
Georgia;1;0;2;0;0;3;0;3;5;4;7;2;5;1;8;1;5;1;4;2;1;1;1;0
Latvia;807;789;688;539;548;578;606;596;531;598;575;597;785;927;866;899;1017;577;617;574;600;583;616;598
Belgium;154;331;53;13;18;19;7;13;29;20;18;57;18;24;36;29;14;6;7;12;12;4;13;16
Israel;1;5;1;4;1;53;6;13;4;3;2;34;5;5;10;3;7;8;2;1;6;1;4;4
Uganda;3;3;0;0;0;0;1;6;0;0;1;0;0;2;1;0;0;0;0;0;0;0;0;0
Venezuela;13;38;0;59;7;2;9;77;12;35;61;8;33;76;18;1;3;11;7;35;842;1010;6;0
Greece;1;1;0;6;0;5;0;2;1;0;1;1;4;34;75;74;14;2;2;2;2;1;25;2
Bolivia;0;0;3;0;0;2;59;3;3;2;0;0;4;5;4;2;3;0;0;0;0;0;3;3
Paraguay;0;2;2;1;36;30;0;0;24;14;4;47;11;1;1;3;1;4;596;575;51;0;0;1
Hungary;15;13;13;14;16;16;14;14;16;13;0;4;2;0;20;11;9;3;0;10;11;23;20;14
Ghana;1;1;0;5;2;3;1;0;3;4;5;9;6;3;9;2;3;2;4;2;5;0;3;4
Nepal;325;241;237;233;216;219;211;196;197;221;275;291;315;229;229;237;240;313;326;328;333;339;341;337
Bhutan;492;394;393;391;388;337;333;384;393;404;517;512;523;532;527;534;529;531;529;532;528;532;524;528
Morocco;13;19;12;11;12;10;11;13;11;30;13;37;29;45;31;52;51;27;25;27;22;28;26;24
Colombia;17;44;8;15;11;41;40;13;6;39;3;7;6;24;49;90;63;58;37;49;29;80;6;36
Jordan;1;0;0;1;0;0;0;4;0;5;0;0;3;38;10;6;2;0;0;1;4;1;0;105
Kuwait;0;0;0;0;2;0;0;0;0;0;1;4;0;4;0;1;0;0;0;0;0;0;3;0
Cyprus;0;0;0;0;0;0;0;0;0;0;0;0;6;10;0;0;0;6;18;0;0;0;0;0
