analyzer_id,source_port,source_protocol,target_port,target_protocol
1,62099,4,2222,4
1,32001,4,2222,4
1,44472,4,2222,4
1,41807,4,2222,4
1,54966,4,2222,4
1,54737,4,2222,4
1,30285,4,2222,4
1,55103,4,2222,4
1,45083,4,2222,4
1,59707,4,2222,4
1,20929,4,2222,4
1,20930,4,2222,4
1,20931,4,2222,4
1,20932,4,2222,4
1,20933,4,2222,4
1,20934,4,2222,4
1,20935,4,2222,4
1,20936,4,2222,4
1,20937,4,2222,4
1,20938,4,2222,4
1,20939,4,2222,4
1,20940,4,2222,4
1,20941,4,2222,4
1,20942,4,2222,4
1,20943,4,2222,4
1,20944,4,2222,4
1,20945,4,2222,4
1,20946,4,2222,4
1,20947,4,2222,4
1,20948,4,2222,4
1,20949,4,2222,4
1,20950,4,2222,4
1,20951,4,2222,4
1,20952,4,2222,4
1,20953,4,2222,4
1,20954,4,2222,4
1,20955,4,2222,4
1,20956,4,2222,4
1,20957,4,2222,4
1,20958,4,2222,4
1,20959,4,2222,4
1,20960,4,2222,4
1,20961,4,2222,4
1,20962,4,2222,4
1,20963,4,2222,4
1,20964,4,2222,4
1,20965,4,2222,4
1,20966,4,2222,4
1,20967,4,2222,4
1,20968,4,2222,4
1,20969,4,2222,4
1,20970,4,2222,4
1,27237,4,2222,4
1,33754,4,2222,4
1,23322,4,2222,4
1,12988,4,2222,4
1,55974,4,2222,4
1,26121,4,2222,4
1,58460,4,2222,4
1,48820,4,2222,4
1,49797,4,2222,4
1,46110,4,2222,4
1,33679,4,2222,4
1,28465,4,2222,4
1,47852,4,2222,4
1,19580,4,2222,4
1,20674,4,2222,4
1,18806,4,2222,4
1,36650,4,2222,4
1,27014,4,2222,4
1,57972,4,2222,4
1,24977,4,2222,4
1,62717,4,2222,4
1,42737,4,2222,4
1,58256,4,2222,4
1,65000,4,2222,4
1,55926,4,2222,4
1,48245,4,2222,4
1,49779,4,2222,4
1,18936,4,2222,4
1,60802,4,2222,4
1,54413,4,2222,4
1,27347,4,2222,4
1,34372,4,2222,4
1,13136,4,2222,4
1,13144,4,2222,4
1,13152,4,2222,4
1,13160,4,2222,4
1,33764,4,2222,4
1,33772,4,2222,4
1,33788,4,2222,4
1,33806,4,2222,4
1,33820,4,2222,4
1,53004,4,2222,4
1,53010,4,2222,4
1,53012,4,2222,4
1,53018,4,2222,4
1,35098,4,2222,4
1,35104,4,2222,4
1,35122,4,2222,4
1,35126,4,2222,4
1,22122,4,2222,4
1,22134,4,2222,4
1,22142,4,2222,4
1,22150,4,2222,4
1,22300,4,2222,4
1,22310,4,2222,4
1,22320,4,2222,4
1,22326,4,2222,4
1,22334,4,2222,4
1,35062,4,2222,4
1,35068,4,2222,4
1,35076,4,2222,4
1,35080,4,2222,4
1,60918,4,2222,4
1,60928,4,2222,4
1,60934,4,2222,4
1,60940,4,2222,4
1,50114,4,2222,4
1,50128,4,2222,4
1,50138,4,2222,4
1,50150,4,2222,4
1,58662,4,2222,4
1,58670,4,2222,4
1,44090,4,2222,4
1,58674,4,2222,4
1,58682,4,2222,4
1,28778,4,2222,4
1,13085,4,2222,4
1,40870,4,2222,4
1,19121,4,2222,4
1,58977,4,2222,4
1,23144,4,2222,4
1,49694,4,2222,4
1,41768,4,2222,4
1,62323,4,2222,4
1,29486,4,2222,4
1,20933,4,2222,4
1,1335,4,2222,4
1,25487,4,2222,4
1,40206,4,2222,4
1,16452,4,2222,4
1,23849,4,2222,4
1,29796,4,2222,4
1,20731,4,2222,4
1,47788,4,2222,4
1,49280,4,2222,4
1,54891,4,2222,4
1,21575,4,2222,4
1,12269,4,2222,4
1,51982,4,2222,4
1,46854,4,2222,4
1,46932,4,2222,4
1,47108,4,2222,4
1,49488,4,2222,4
1,42460,4,2222,4
1,38064,4,2222,4
1,38080,4,2222,4
1,1024,4,2222,4
1,38394,4,2222,4
1,14467,4,2222,4
1,43466,4,2222,4
1,33626,4,2222,4
1,34878,4,2222,4
1,35680,4,2222,4
1,54090,4,2222,4
1,53454,4,2222,4
1,54948,4,2222,4
1,55978,4,2222,4
1,46486,4,2222,4
1,1024,4,2222,4
1,1026,4,2222,4
1,1025,4,2222,4
1,51266,4,2222,4
1,45296,4,2222,4
1,1024,4,2222,4
1,49480,4,2222,4
1,47899,4,2222,4
1,47816,4,2222,4
1,37938,4,2222,4
1,41812,4,2222,4
1,41822,4,2222,4
1,1024,4,2222,4
1,48902,4,2222,4
1,46220,4,2222,4
1,33760,4,2222,4
1,33766,4,2222,4
1,43174,4,2222,4
1,1024,4,2222,4
1,44456,4,2222,4
1,45870,4,2222,4
1,47248,4,2222,4
1,55426,4,2222,4
1,55436,4,2222,4
1,38594,4,2222,4
1,1024,4,2222,4
1,42606,4,2222,4
1,51970,4,2222,4
1,45106,4,2222,4
1,40602,4,2222,4
1,1024,4,2222,4
1,1025,4,2222,4
1,1026,4,2222,4
1,48046,4,2222,4
1,49192,4,2222,4
1,50172,4,2222,4
1,47364,4,2222,4
1,43310,4,2222,4
1,45400,4,2222,4
1,47208,4,2222,4
1,1024,4,2222,4
1,51240,4,2222,4
1,44108,4,2222,4
1,40198,4,2222,4
1,1024,4,2222,4
1,1025,4,2222,4
1,1026,4,2222,4
1,58788,4,2222,4
1,39192,4,2222,4
1,40160,4,2222,4
1,41374,4,2222,4
1,42378,4,2222,4
1,38966,4,2222,4
1,41426,4,2222,4
1,43348,4,2222,4
1,1024,4,2222,4
1,1025,4,2222,4
1,1026,4,2222,4
1,33302,4,2222,4
1,36184,4,2222,4
1,48392,4,2222,4
1,1024,4,2222,4
1,59284,4,2222,4
1,51384,4,2222,4
1,51388,4,2222,4
1,57554,4,2222,4
1,60486,4,2222,4
1,1025,4,2222,4
1,1026,4,2222,4
1,1027,4,2222,4
1,50886,4,2222,4
1,37748,4,2222,4
1,56542,4,2222,4
1,58716,4,2222,4
1,60490,4,2222,4
1,46952,4,2222,4
1,1025,4,2222,4
1,49150,4,2222,4
1,1026,4,2222,4
1,51170,4,2222,4
1,1027,4,2222,4
1,53956,4,2222,4
1,53970,4,2222,4
1,44760,4,2222,4
1,52616,4,2222,4
1,53904,4,2222,4
1,54804,4,2222,4
1,55228,4,2222,4
1,57152,4,2222,4
1,59024,4,2222,4
1,1025,4,2222,4
1,37238,4,2222,4
1,1026,4,2222,4
1,1027,4,2222,4
1,35594,4,2222,4
1,37362,4,2222,4
1,39166,4,2222,4
1,48670,4,2222,4
1,50028,4,2222,4
1,50848,4,2222,4
1,48970,4,2222,4
1,1024,4,2222,4
1,33822,4,2222,4
1,1025,4,2222,4
1,33828,4,2222,4
1,1026,4,2222,4
1,44246,4,2222,4
1,44754,4,2222,4
1,50420,4,2222,4
1,1024,4,2222,4
1,53022,4,2222,4
1,55258,4,2222,4
1,57192,4,2222,4
1,33576,4,2222,4
1,42446,4,2222,4
1,36608,4,2222,4
1,40786,4,2222,4
1,38406,4,2222,4
1,41946,4,2222,4
1,42816,4,2222,4
1,1024,4,2222,4
1,41560,4,2222,4
1,52808,4,2222,4
1,1024,4,2222,4
1,36844,4,2222,4
1,1025,4,2222,4
1,1026,4,2222,4
1,49288,4,2222,4
1,51306,4,2222,4
1,53110,4,2222,4
1,54664,4,2222,4
1,1024,4,2222,4
1,58078,4,2222,4
1,1025,4,2222,4
1,60310,4,2222,4
1,1026,4,2222,4
1,34114,4,2222,4
1,32890,4,2222,4
1,33908,4,2222,4
1,34674,4,2222,4
1,47874,4,2222,4
1,46142,4,2222,4
1,46154,4,2222,4
1,39088,4,2222,4
1,41266,4,2222,4
1,42962,4,2222,4
1,1024,4,2222,4
1,1026,4,2222,4
1,1027,4,2222,4
1,57182,4,2222,4
1,58224,4,2222,4
1,59000,4,2222,4
1,52408,4,2222,4
1,48244,4,2222,4
1,50290,4,2222,4
1,57360,4,2222,4
1,52156,4,2222,4
1,57370,4,2222,4
1,1024,4,2222,4
1,1026,4,2222,4
1,1027,4,2222,4
1,58534,4,2222,4
1,60556,4,2222,4
1,34424,4,2222,4
1,50792,4,2222,4
1,50802,4,2222,4
1,53244,4,2222,4
1,50746,4,2222,4
1,1024,4,2222,4
1,58628,4,2222,4
1,49294,4,2222,4
1,1024,4,2222,4
1,1025,4,2222,4
1,1026,4,2222,4
1,45270,4,2222,4
1,1024,4,2222,4
1,1025,4,2222,4
1,1026,4,2222,4
1,45340,4,2222,4
1,39450,4,2222,4
1,47760,4,2222,4
1,47762,4,2222,4
1,1024,4,2222,4
1,41402,4,2222,4
1,39588,4,2222,4
1,37738,4,2222,4
1,37744,4,2222,4
1,1024,4,2222,4
1,39804,4,2222,4
1,58194,4,2222,4
1,58200,4,2222,4
1,37512,4,2222,4
1,1024,4,2222,4
1,36126,4,2222,4
1,33510,4,2222,4
1,34364,4,2222,4
1,35170,4,2222,4
1,1024,4,2222,4
1,1024,4,2222,4
1,57800,4,2222,4
1,1024,4,2222,4
1,1025,4,2222,4
1,1026,4,2222,4
1,53854,4,2222,4
1,49906,4,2222,4
1,50804,4,2222,4
1,51628,4,2222,4
1,45956,4,2222,4
1,33096,4,2222,4
1,43976,4,2222,4
1,42018,4,2222,4
1,57987,4,2222,4
1,37727,4,2222,4
1,38060,4,2222,4
1,39892,4,2222,4
1,34124,4,2222,4
1,39902,4,2222,4
1,47124,4,2222,4
1,58406,4,2222,4
1,44412,4,2222,4
1,44414,4,2222,4
1,44424,4,2222,4
1,54498,4,2222,4
1,36340,4,2222,4
1,36350,4,2222,4
1,36354,4,2222,4
1,36640,4,2222,4
1,36732,4,2222,4
1,43907,4,2222,4
1,33545,4,2222,4
1,51173,4,2222,4
1,58439,4,2222,4
1,52330,4,2222,4
1,37472,4,2222,4
1,54042,4,2222,4
1,57840,4,2222,4
1,45990,4,2222,4
1,46004,4,2222,4
1,57756,4,2222,4
1,44738,4,2222,4
1,57298,4,2222,4
1,50312,4,2222,4
1,50642,4,2222,4
1,51296,4,2222,4
1,33548,4,2222,4
1,34000,4,2222,4
1,34330,4,2222,4
1,52002,4,2222,4
1,52095,4,2222,4
1,45670,4,2222,4
1,41750,4,2222,4
1,43832,4,2222,4
1,44222,4,2222,4
1,45122,4,2222,4
1,37172,4,2222,4
1,38022,4,2222,4
1,37562,4,2222,4
1,60820,4,2222,4
1,33750,4,2222,4
1,35028,4,2222,4
1,58612,4,2222,4
1,59269,4,2222,4
1,59366,4,2222,4
1,56246,4,2222,4
1,57744,4,2222,4
1,58792,4,2222,4
1,64110,4,2222,4
1,65176,4,2222,4
1,32988,4,2222,4
1,50964,4,2222,4
1,37434,4,2222,4
1,42022,4,2222,4
1,41640,4,2222,4
1,36732,4,2222,4
1,58976,4,2222,4
1,51770,4,2222,4
1,43678,4,2222,4
1,35150,4,2222,4
1,56936,4,2222,4
1,48532,4,2222,4
1,40474,4,2222,4
1,51686,4,2222,4
1,43318,4,2222,4
1,57784,4,2222,4
1,34928,4,2222,4
1,58092,4,2222,4
1,47112,4,2222,4
1,48400,4,2222,4
1,49706,4,2222,4
1,35668,4,2222,4
1,35994,4,2222,4
1,36464,4,2222,4
1,51412,4,2222,4
1,42536,4,2222,4
1,38302,4,2222,4
1,38400,4,2222,4
1,56256,4,2222,4
1,45076,4,2222,4
1,45488,4,2222,4
1,46132,4,2222,4
1,37954,4,2222,4
1,39324,4,2222,4
1,40462,4,2222,4
1,48606,4,2222,4
1,33390,4,2222,4
1,34714,4,2222,4
1,35904,4,2222,4
1,38778,4,2222,4
1,40958,4,2222,4
1,57060,4,2222,4
1,58216,4,2222,4
1,59482,4,2222,4
1,45568,4,2222,4
1,45658,4,2222,4
1,65220,4,2222,4
1,33366,4,2222,4
1,33930,4,2222,4
1,33312,4,2222,4
1,52500,4,2222,4
1,58926,4,2222,4
1,59318,4,2222,4
1,59940,4,2222,4
1,47918,4,2222,4
1,53896,4,2222,4
1,54066,4,2222,4
1,54494,4,2222,4
1,52552,4,2222,4
1,52835,4,2222,4
1,43346,4,2222,4
1,46252,4,2222,4
1,38776,4,2222,4
1,46408,4,2222,4
1,61202,4,2222,4
1,61203,4,2222,4
1,38600,4,2222,4
1,38812,4,2222,4
1,39276,4,2222,4
1,61204,4,2222,4
1,61205,4,2222,4
1,34200,4,2222,4
1,61206,4,2222,4
1,35510,4,2222,4
1,61207,4,2222,4
1,36570,4,2222,4
1,40702,4,2222,4
1,59188,4,2222,4
1,59374,4,2222,4
1,59778,4,2222,4
1,60100,4,2222,4
1,57854,4,2222,4
1,58936,4,2222,4
1,60112,4,2222,4
1,51544,4,2222,4
1,34664,4,2222,4
1,35706,4,2222,4
1,36326,4,2222,4
1,53294,4,2222,4
1,54566,4,2222,4
1,55686,4,2222,4
1,61208,4,2222,4
1,43896,4,2222,4
1,61209,4,2222,4
1,61210,4,2222,4
1,61211,4,2222,4
1,61212,4,2222,4
1,61213,4,2222,4
1,61392,4,2222,4
1,48728,4,2222,4
1,49742,4,2222,4
1,50772,4,2222,4
1,36244,4,2222,4
1,39131,4,2222,4
1,55344,4,2222,4
1,44164,4,2222,4
1,45196,4,2222,4
1,46098,4,2222,4
1,56830,4,2222,4
1,57042,4,2222,4
1,57490,4,2222,4
1,61215,4,2222,4
1,61216,4,2222,4
1,49334,4,2222,4
1,39590,4,2222,4
1,40590,4,2222,4
1,49186,4,2222,4
1,41432,4,2222,4
1,61217,4,2222,4
1,61218,4,2222,4
1,46396,4,2222,4
1,41538,4,2222,4
1,41770,4,2222,4
1,43534,4,2222,4
1,42184,4,2222,4
1,35026,4,2222,4
1,33896,4,2222,4
1,34068,4,2222,4
1,34568,4,2222,4
1,37740,4,2222,4
1,58694,4,2222,4
1,54486,4,2222,4
1,54722,4,2222,4
1,55134,4,2222,4
1,53662,4,2222,4
1,53780,4,2222,4
1,54120,4,2222,4
1,64868,4,2222,4
1,32896,4,2222,4
1,46838,4,2222,4
1,49552,4,2222,4
1,59158,4,2222,4
1,39192,4,2222,4
1,44988,4,2222,4
1,45932,4,2222,4
1,59782,4,2222,4
1,46798,4,2222,4
1,60932,4,2222,4
1,53576,4,2222,4
1,61219,4,2222,4
1,53904,4,2222,4
1,54452,4,2222,4
1,52138,4,2222,4
1,52366,4,2222,4
1,52786,4,2222,4
1,40426,4,2222,4
1,41430,4,2222,4
1,42356,4,2222,4
1,47958,4,2222,4
1,44496,4,2222,4
1,61220,4,2222,4
1,61221,4,2222,4
1,35858,4,2222,4
1,61222,4,2222,4
1,61223,4,2222,4
1,61224,4,2222,4
1,39965,4,2222,4
1,42528,4,2222,4
1,36846,4,2222,4
1,61225,4,2222,4
1,61226,4,2222,4
1,59524,4,2222,4
1,61227,4,2222,4
1,60438,4,2222,4
1,33178,4,2222,4
1,57432,4,2222,4
1,37146,4,2222,4
1,37494,4,2222,4
1,38392,4,2222,4
1,54952,4,2222,4
1,64358,4,2222,4
1,47230,4,2222,4
1,47335,4,2222,4
1,61228,4,2222,4
1,61229,4,2222,4
1,61230,4,2222,4
1,61231,4,2222,4
1,61232,4,2222,4
1,61233,4,2222,4
1,61234,4,2222,4
1,59194,4,2222,4
1,54452,4,2222,4
1,54496,4,2222,4
1,61235,4,2222,4
1,61237,4,2222,4
1,50226,4,2222,4
1,33529,4,2222,4
1,33623,4,2222,4
1,40797,4,2222,4
1,40895,4,2222,4
1,40578,4,2222,4
1,47056,4,2222,4
1,48062,4,2222,4
1,55329,4,2222,4
1,55406,4,2222,4
1,56382,4,2222,4
1,56396,4,2222,4
1,56408,4,2222,4
1,56430,4,2222,4
1,33580,4,2222,4
1,33594,4,2222,4
1,33608,4,2222,4
1,33618,4,2222,4
1,33632,4,2222,4
1,33640,4,2222,4
1,55888,4,2222,4
1,55892,4,2222,4
1,55904,4,2222,4
1,55918,4,2222,4
1,55926,4,2222,4
1,55940,4,2222,4
1,42908,4,2222,4
1,42914,4,2222,4
1,42938,4,2222,4
1,42944,4,2222,4
1,42950,4,2222,4
1,42952,4,2222,4
1,46902,4,2222,4
1,46910,4,2222,4
1,46924,4,2222,4
1,46940,4,2222,4
1,46952,4,2222,4
1,46954,4,2222,4
1,33392,4,2222,4
1,33394,4,2222,4
1,33410,4,2222,4
1,33422,4,2222,4
1,33430,4,2222,4
1,33442,4,2222,4
1,46782,4,2222,4
1,46784,4,2222,4
1,46792,4,2222,4
1,46798,4,2222,4
1,46808,4,2222,4
1,46816,4,2222,4
1,60578,4,2222,4
1,60602,4,2222,4
1,34364,4,2222,4
1,34450,4,2222,4
1,41630,4,2222,4
1,48894,4,2222,4
1,45220,4,2222,4
1,45528,4,2222,4
1,45798,4,2222,4
1,56161,4,2222,4
1,53528,4,2222,4
1,35193,4,2222,4
1,35275,4,2222,4
1,42459,4,2222,4
1,42563,4,2222,4
1,35453,4,2222,4
1,57230,4,2222,4
1,40830,4,2222,4
1,38386,4,2222,4
1,58678,4,2222,4
1,38486,4,2222,4
1,58806,4,2222,4
1,38758,4,2222,4
1,59094,4,2222,4
1,56614,4,2222,4
1,57142,4,2222,4
1,57556,4,2222,4
1,54520,4,2222,4
1,35310,4,2222,4
1,52740,4,2222,4
1,52748,4,2222,4
1,52764,4,2222,4
1,64238,4,2222,4
1,64250,4,2222,4
1,64427,4,2222,4
1,64592,4,2222,4
1,46180,4,2222,4
1,33058,4,2222,4
1,42644,4,2222,4
1,57060,4,2222,4
1,58434,4,2222,4
1,58480,4,2222,4
1,43372,4,2222,4
1,52836,4,2222,4
1,54254,4,2222,4
1,54258,4,2222,4
1,57354,4,2222,4
1,48604,4,2222,4
1,62978,4,2222,4
1,62980,4,2222,4
1,33349,4,2222,4
1,37154,4,2222,4
1,44358,4,2222,4
1,44376,4,2222,4
1,45774,4,2222,4
1,45794,4,2222,4
1,39302,4,2222,4
1,39318,4,2222,4
1,39328,4,2222,4
1,40150,4,2222,4
1,41566,4,2222,4
1,41568,4,2222,4
1,55316,4,2222,4
1,55330,4,2222,4
1,35140,4,2222,4
1,35920,4,2222,4
1,37268,4,2222,4
1,37338,4,2222,4
1,38122,4,2222,4
1,59922,4,2222,4
1,33056,4,2222,4
1,33110,4,2222,4
1,59382,4,2222,4
1,55690,4,2222,4
1,39950,4,2222,4
1,45370,4,2222,4
1,45384,4,2222,4
1,51454,4,2222,4
1,47924,4,2222,4
1,47934,4,2222,4
1,47944,4,2222,4
1,47218,4,2222,4
1,49060,4,2222,4
1,57246,4,2222,4
1,57254,4,2222,4
1,42990,4,2222,4
1,44230,4,2222,4
1,44412,4,2222,4
1,34594,4,2222,4
1,54468,4,2222,4
1,38768,4,2222,4
